ra dec err_maj err_min err_ang designation j_m j_cmsig j_msigcom j_snr h_m h_cmsig h_msigcom h_snr k_m k_cmsig k_msigcom k_snr ph_qual rd_flg bl_flg cc_flg ndet prox pxpa pxcntr gal_contam mp_flg cntr hemis xdate scan glon glat x y z x_scan jdate j_psfchi h_psfchi k_psfchi j_m_stdap j_msig_stdap h_m_stdap h_msig_stdap k_m_stdap k_msig_stdap dist_edge_ns dist_edge_ew dist_edge_flg dup_src use_src a dist_opt phi_opt b_m_opt vr_m_opt nopt_mchs ext_key scan_key coadd_key coadd htm20
56.708063 24.590460 0.11 0.11 17 03464993+2435256 15.760 0.057 0.059 18.6 15.593 0.133 0.133 9.9 15.219 0.135 0.135 8.2 ABB 222 111 s00 260606 28.3 315 1175598913 0 0 1175598896 n 2000-09-24 126 166.193 -23.196 0.4991224608770000 0.7600744015820000 0.4161293946680000 208.5 2451812.0088 0.99 0.82 1.07 15.820 0.089 15.155 0.064 14.846 0.214 2664.8 46.4 sw 1 1 U 0.4 220 17.80 16.70 1 "" 63193 1453419 32 17404886278192.0
56.701972 24.596054 0.33 0.30 180 03464847+2435457 16.488 0.116 0.117 9.5 16.023 0.172 0.172 6.7 16.126 0.268 0.269 3.6 BCD 222 111 000 060606 17.5 35 440328339 0 0 1175598913 n 2000-09-24 126 166.185 -23.195 0.4991809529980000 0.7599873747860000 0.4162181715530000 228.4 2451812.0088 1.31 1.43 1.05 16.653 0.217 16.178 0.253 16.386 0.523 2685.1 26.4 sw 0 0 U 0.4 293 18.30 17.40 1 "" 63193 1453419 32 17404886316123.0
56.825266 24.390772 0.06 0.06 0 03471806+2423267 10.490 0.025 0.027 2379.2 9.831 0.029 0.030 2002.2 9.719 0.017 0.019 1299.6 AAA 222 111 000 666666 29.3 308 1175598431 0 0 1175598420 n 2000-09-24 126 166.425 -23.272 0.4983571980410000 0.7623030888770000 0.4129577506830000 -175.5 2451812.0086 1.03 0.78 0.98 10.486 0.029 9.815 0.030 9.701 0.009 1943.9 76.6 se 0 1 U 2.4 156 13.90 11.90 1 "" 63193 1453418 21 17404889442200.0
56.833056 24.379299 0.24 0.23 108 03471993+2422454 16.829 0.161 0.161 6.9 15.821 0.142 0.142 8.0 15.708 0.198 0.198 5.2 CBC 222 111 000 060606 30.7 243 1175598387 0 0 1175598395 n 2000-09-24 126 166.439 -23.276 0.4982987786460000 0.7624400430300000 0.4127753723080000 -201.0 2451812.0086 1.10 0.98 1.08 16.195 0.072 15.751 0.230 15.479 0.307 1902.4 51.0 se 0 1 0 "" "" "" "" 0 "" 63193 1453418 21 17404889458915.0
56.855260 24.411051 0.07 0.07 45 03472526+2424397 14.939 0.040 0.042 31.0 14.221 0.050 0.051 24.0 13.920 0.053 0.053 21.3 AAA 222 111 000 666635 28.6 101 440352746 0 0 440352743 n 1998-11-21 56 166.432 -23.239 0.4978781234190000 0.7624414448000000 0.4132800714670000 172.4 2451138.7116 1.27 0.82 1.32 15.028 0.054 14.135 0.059 14.093 0.210 2009.2 80.0 sw 0 1 U 0.8 144 19.80 18.40 1 "" 25686 590776 244 17404889470550.0
56.863848 24.409590 0.09 0.09 45 03472732+2424345 15.451 0.065 0.066 19.4 15.205 0.111 0.111 9.7 14.777 0.111 0.111 9.7 ABB 222 111 000 460606 22.8 102 440352751 0 0 440352746 n 1998-11-21 56 166.440 -23.235 0.4977695967490000 0.7625248869080000 0.4132568516050000 144.2 2451138.7116 0.81 1.10 1.08 15.436 0.103 15.238 0.223 15.085 0.280 2004.2 108.1 sw 0 1 U 0.3 99 17.90 16.50 1 "" 25686 590776 244 17404889479040.0
56.852591 24.395678 0.07 0.07 90 03472462+2423444 11.548 0.019 0.022 705.1 10.907 0.015 0.017 508.3 10.756 0.016 0.018 392.7 AAA 222 111 000 666666 34.6 56 440352764 0 0 440352771 n 1998-11-21 56 166.442 -23.252 0.4979742540680000 0.7625110658920000 0.4130357329300000 181.1 2451138.7116 1.27 0.83 1.57 11.552 0.014 10.907 0.009 10.764 0.008 1953.9 71.2 sw 0 1 U 0.5 101 15.00 13.10 1 "" 25686 590776 244 17404889499536.0
56.815110 24.405855 0.06 0.06 0 03471562+2424210 14.924 0.040 0.042 40.1 14.233 0.035 0.036 34.7 14.064 0.058 0.058 23.8 AAA 222 111 000 665646 37.8 165 1175598431 0 0 1175598450 n 2000-09-24 126 166.407 -23.267 0.4984327936860000 0.7621237332690000 0.4131974895450000 -142.2 2451812.0086 0.79 0.96 1.11 14.942 0.063 14.274 0.088 14.008 0.071 1998.3 109.9 se 0 1 U 0.3 102 19.10 16.80 1 "" 63193 1453419 32 17404889588750.0
56.818174 24.395746 0.06 0.06 163 03471636+2423446 14.912 0.036 0.038 40.5 14.338 0.055 0.055 31.5 14.169 0.056 0.056 21.6 AAA 222 111 000 666635 18.5 223 1175598423 0 0 1175598431 n 2000-09-24 126 166.416 -23.273 0.4984319286610000 0.7622113899350000 0.4130368137880000 -152.2 2451812.0086 0.91 0.83 1.16 14.935 0.052 14.246 0.068 14.246 0.103 1961.9 99.9 se 0 1 U 0.5 186 17.70 16.70 1 "" 63193 1453419 32 17404889615839.0
56.836566 24.395035 0.06 0.06 0 03472077+2423421 13.421 0.025 0.027 160.0 12.974 0.033 0.034 110.7 12.919 0.025 0.027 68.2 AAA 222 111 000 666655 40.1 248 1175598420 0 0 1175598427 n 2000-09-24 126 166.430 -23.262 0.4981900361570000 0.7623756383500000 0.4130255124370000 -212.5 2451812.0086 1.13 1.04 1.51 13.397 0.020 12.993 0.047 12.963 0.057 1959.0 39.6 se 1 1 U 0.4 101 16.00 14.40 1 "" 63193 1453419 32 17404889639255.0
