gaia_designation gaia_ra gaia_dec ra_error dec_error parallax parallax_error pmra pmra_error pmdec pmdec_error phot_g_mean_mag bp_rp bp_g g_rp phot_g_n_obs phot_g_mean_flux_over_error phot_g_mean_flux_error phot_g_mean_flux phot_bp_mean_mag phot_rp_mean_mag 2mass_designation 2mass_ra 2mass_dec err_maj err_min j_m h_m k_m j_cmsig h_cmsig k_cmsig k_snr allwise_designation allwise_ra allwise_dec sigra sigdec w1mpro w2mpro w3mpro w4mpro w1sigmpro w2sigmpro w3sigmpro w4sigmpro w4snr variability radial_distance
"Gaia DR2 2059895834512454144" 301.26774813791076 36.48170620805526 0.02229050325389346 0.028278258004525197 0.223718404757413 0.02968198408565286 -2.295637222617689 0.04988758052217359 -4.571261606880015 0.055926205795333736 15.205121040344238 2.1817541122436523 1.1181211471557617 1.0636329650878906 279 2726.175048828125 5.724589087949596 15606.231764498414 16.3232421875 14.141488075256348 20050426+3628542 301.267754 36.481724 0.08 0.08 12.423 11.700 11.479 "" 0.031 0.024 201.8 J200504.26+362854.1 301.2677830 36.4817110 0.0432 0.0420 11.246 11.282 10.500 8.750 0.025 0.024 0.138 0.288 3.8 0.3199080969542574 4469.90492840471
"Gaia DR2 2059895834512450944" 301.2656790476306 36.47629674771849 0.036605811966148795 0.044822233760205374 0.5328393943246972 0.049291850366215216 -3.3234352931572078 0.08276537804621556 -6.616387619391117 0.0949558144669868 16.46614646911621 1.414113998413086 0.6281223297119141 0.7859916687011719 261 1663.7899169921875 2.936222203251271 4885.256727667288 17.094268798828125 15.680154800415039 20050376+3628347 301.265698 36.476318 0.06 0.06 14.687 14.245 14.157 0.038 0.053 0.070 17.1 J200503.76+362834.5 301.2656908 36.4762624 0.0916 0.0930 13.918 14.039 11.027 8.883 0.042 0.052 0.142 "" 1.4 0.39606914390838494 1876.7381140566129
"Gaia DR2 2059895868872174720" 301.2821644324211 36.48108362883141 0.027962931112139603 0.03404450641468372 0.21669262004788206 0.036408005456325346 -3.440466436280936 0.06416478700238248 -5.056966489819645 0.06941127627843241 16.029373168945312 1.4998703002929688 0.6731834411621094 0.8266868591308594 269 2230.378662109375 3.275056574850214 7304.616046363326 16.702556610107422 15.202686309814453 20050772+3628519 301.282177 36.481087 0.06 0.06 14.031 13.750 13.613 0.027 0.035 0.040 28.3 J200507.69+362851.9 301.2820599 36.4811079 0.0488 0.0480 13.516 13.688 12.665 9.335 0.025 0.030 "" "" -2.2 0.34728565062283856 4614.831828509122
"Gaia DR2 2059896693505926528" 301.2682630207443 36.49863975305298 0.05173094413665291 0.062346374495313585 0.3982180213375546 0.06848801602192169 -3.838292767282794 0.10905968489884184 -6.057060292242809 0.12559079295398948 16.83530616760254 1.5247955322265625 0.6698532104492188 0.8549423217773438 235 1262.1644287109375 2.754912915228628 3477.153237436355 17.505159378051758 15.980363845825195 20050438+3629551 301.268266 36.498665 0.06 0.06 14.863 14.404 14.170 0.045 0.055 0.065 16.9 J200504.38+362955.1 301.2682564 36.4986636 0.1058 0.1089 14.205 14.283 11.329 9.370 0.054 0.047 0.440 0.529 2.1 0.43149519404095515 2511.187205041977
"Gaia DR2 2059896689172594432" 301.26486148904405 36.495673869864454 0.07192879176124523 0.08663944281145827 0.08124168745572524 0.09219324515990257 -3.3276287403145117 0.15653263577977092 -4.254190598926691 0.17157558705069023 17.326045989990234 3.2846755981445312 1.9175243377685547 1.3671512603759766 255 1088.8013916015625 2.032258131315924 2212.72537996647 19.24357032775879 15.958894729614258 20050356+3629444 301.264871 36.495689 0.06 0.06 13.350 12.149 11.758 0.021 0.027 0.019 156.0 J200503.56+362944.4 301.2648651 36.4956730 0.0434 0.0415 11.544 11.606 11.040 8.657 0.025 0.023 0.356 "" 1.8 0.4839447207368844 12308.951614834143
"Gaia DR2 2059895937563682304" 301.27954025669897 36.491451331350284 0.087365821750247 0.10490099185988468 0.24447380541682898 0.11533919432442526 -4.1202636912776 0.19276063400414756 -5.75377863776553 0.2251297899105956 17.940650939941406 0.0 0.0 0.0 252 369.0118103027344 3.404438357153607 1256.2780004671927 0.0 0.0 20050698+3629283 301.279119 36.491211 0.06 0.06 14.424 14.009 13.794 0.037 0.054 0.047 23.9 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.8263806459783152 4090.4177782768807
"Gaia DR2 2059895830186968320" 301.26948149363096 36.481571652120444 0.4484382186102904 0.555138340884946 -0.10223277008178047 0.6332113266299391 -1.4650546131873974 0.9608557460708428 -2.517717960479016 1.413467185883986 20.393259048461914 2.2195262908935547 0.48749732971191406 1.7320289611816406 256 161.7302703857422 0.8114309193258478 131.23294522287495 20.880756378173828 18.661230087280273 20050465+3628535 301.269409 36.481548 0.09 0.09 13.869 14.944 14.679 0.000 0.089 0.111 10.6 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.2581265473004808 -9781.599375621498
"Gaia DR2 2059895765764924288" 301.2803954744361 36.477485886572474 0.25353690105460763 0.36208513608829485 0.5772352183218578 0.37604680911215443 -1.5723472292245972 0.5638005284177006 -1.4187471048133706 0.920541313814834 19.698659896850586 2.6992950439453125 1.242727279663086 1.4565677642822266 251 291.00799560546875 0.855021842438259 248.81818142613733 20.941387176513672 18.24209213256836 20050729+3628389 301.280386 36.477493 0.07 0.07 15.982 14.838 14.485 0.096 0.087 0.080 12.7 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.9287191483339758 1732.396028965812
"Gaia DR2 2059895765792948480" 301.28457232846444 36.47336088814887 0.037657656668884605 0.04700027210525762 0.11397906168801823 0.05087584300766619 -2.9737855381192464 0.08633722756392924 -4.069060721160293 0.10324541866410646 16.59132194519043 1.8650999069213867 0.8859176635742188 0.979182243347168 258 1608.79296875 2.7059339875655213 4353.287470239879 17.47723960876465 15.612139701843262 20050829+3628242 301.284574 36.473400 0.08 0.08 14.224 13.155 13.552 0.040 0.000 0.053 29.9 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.4004605811082337 8773.541255649085
"Gaia DR2 2059896586091953152" 301.26180287113556 36.489597624195135 0.5381585558415571 1.1564907382020344 0.0 0.0 0.0 0.0 0.0 0.0 19.82892608642578 0.0 0.0 0.0 137 167.87789916992188 1.3145668805432777 220.68673620350782 0.0 0.0 20050279+3629217 301.261637 36.489388 0.14 0.14 15.989 15.228 15.381 0.101 0.124 0.180 5.5 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.9033655417486962 ""
"Gaia DR2 2059895830177674880" 301.261945234897 36.480407713618796 0.11365137557279521 0.14557765817184448 0.26260913214698617 0.15461490875678674 -3.216126420712895 0.24393756703107647 -3.5899495795992746 0.2938150105726424 18.356952667236328 1.8022480010986328 0.8337001800537109 0.9685478210449219 266 671.7107543945312 1.2746275529819795 856.1810097712356 19.19065284729004 17.388404846191406 20050286+3628496 301.261944 36.480461 0.16 0.14 16.167 15.447 15.478 0.113 0.124 0.000 0.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.6292883148962547 3807.940690502284
"Gaia DR2 2059895834512461568" 301.2607688063137 36.48390167867726 0.06028247849152149 0.07745765119164048 0.307544302956104 0.080041887283288 -4.062212898210049 0.1331113582076496 -7.218646939400522 0.15329053467146203 17.379655838012695 1.8239860534667969 0.6882209777832031 1.1357650756835938 262 1236.205810546875 1.703700125245017 2106.1239462137232 18.0678768157959 16.2438907623291 20050262+3629020 301.260943 36.483898 0.06 0.06 14.759 14.201 14.049 0.037 0.052 0.067 18.9 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.4603681346288178 3251.564052359411
"Gaia DR2 2059895834512460672" 301.2639401173208 36.48646493963507 0.10895004639862364 0.13872981230221607 0.687524110499978 0.15063844925695688 -1.446817401850777 0.23965477128122686 -2.9454028243147743 0.2981620864451788 18.400489807128906 1.7198486328125 0.7626857757568359 0.9571628570556641 262 686.5943603515625 1.1979809472284508 822.5269453277713 19.163175582885742 17.443326950073242 20050334+3629108 301.263958 36.486359 0.27 0.24 16.193 16.621 15.477 0.106 0.000 0.190 5.1 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.6177326120882235 1454.4944456897445
"Gaia DR2 2059895868872177408" 301.2796015461582 36.481735622291716 0.10176174748592508 0.12790260889064034 0.2334701455766858 0.13595291188313768 -4.990048519148109 0.22422554198069364 -7.684254104448906 0.265087189696195 18.406240463256836 1.7200546264648438 0.7587852478027344 0.9612693786621094 291 734.3836669921875 1.1141076872383555 818.1824758944604 19.16502571105957 17.444971084594727 20050708+3628541 301.279521 36.481712 0.16 0.16 16.024 15.581 15.264 0.110 0.142 0.000 0.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.6294844260612428 4283.202880308048
"Gaia DR2 2059896590426713344" 301.26143922859956 36.49129506881859 0.09272611513630782 0.10995439828646938 0.35313468339553844 0.12506737730682513 -1.4445970055546524 0.1939239929390778 -3.7061634094753053 0.23342158575189323 18.049654006958008 1.7750129699707031 0.8175048828125 0.9575080871582031 255 744.6437377929688 1.5259366319712837 1136.2791712743262 18.867158889770508 17.092145919799805 20050274+3629285 301.261457 36.491268 0.09 0.08 15.750 15.153 14.909 0.102 0.118 0.138 8.6 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.5851885492496796 2831.7807539734686
"Gaia DR2 2059895933266183936" 301.2751228006101 36.48708400442547 0.18866233592714854 0.2303250167177335 0.04077848074350847 0.24406426084849556 -2.704344844901545 0.42474926437792165 -4.741258065431402 0.47721532687283796 19.11936378479004 2.522136688232422 1.1778221130371094 1.3443145751953125 265 170.1695556640625 2.492982665239666 424.2297536669283 20.29718589782715 17.775049209594727 20050603+3629135 301.275127 36.487110 0.11 0.11 14.339 13.622 13.837 0.000 0.000 0.056 23.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.2479063784528837 24522.738016893632
"Gaia DR2 2059895933266183552" 301.2714398986741 36.494149364063475 1.0541044742626644 1.1199890189068722 -0.5471649633295745 1.4681239918410014 -2.7630479383854905 1.7595547533849656 -1.9125993276255868 3.170599730098937 20.797531127929688 2.6302337646484375 0.8786296844482422 1.7516040802001953 141 99.04564666748047 0.9130586849270117 90.43448646576537 21.67616081237793 19.045927047729492 20050516+3629389 301.271510 36.494156 0.08 0.08 16.281 14.860 14.394 0.121 0.083 0.069 13.8 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.1931412493170566 -1827.6023996764368
"Gaia DR2 2059895765792962688" 301.27831403489944 36.48051065342555 0.03255783595190263 0.04055284447462383 0.29067852895929996 0.043941209774916494 -3.907939808382438 0.07323491815876307 -5.300317993273616 0.08624712984657329 16.35848045349121 1.662832260131836 0.7717456817626953 0.8910865783691406 281 1975.0972900390625 2.7312744997406115 5394.53297173438 17.130226135253906 15.46739387512207 20050679+3628499 301.278305 36.480530 0.08 0.08 14.221 13.807 13.581 0.037 0.038 0.000 0.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.37718890838550556 3440.2265746295193
