# %ECSV 0.9
# ---
# datatype:
# - name: designation
#   datatype: object
#   description: source designation formed from sexigesimal coordinates
# - name: ra
#   unit: deg
#   datatype: float64
#   format: '{:10.6f}'
#   description: right ascension (J2000 decimal deg)
#   meta: !!omap
#   - ucd: pos.eq.ra;meta.main
#   - width: 10
#   - precision: '6'
# - name: dec
#   unit: deg
#   datatype: float64
#   format: '{:10.6f}'
#   description: declination (J2000 decimal deg)
#   meta: !!omap
#   - ucd: pos.eq.dec;meta.main
#   - width: 10
#   - precision: '6'
# - name: err_maj
#   unit: arcs
#   datatype: float64
#   format: '{:4.2f}'
#   description: Semi-major axis length of the one sigma position uncertainty ellipse
#   meta: !!omap
#   - width: 4
#   - precision: '2'
# - name: err_min
#   unit: arcs
#   datatype: float64
#   format: '{:4.2f}'
#   description: Semi-minor axis length of the one sigma position uncertainty ellipse
#   meta: !!omap
#   - width: 4
#   - precision: '2'
# - name: j_m
#   unit: mag
#   datatype: float64
#   format: '{:6.3f}'
#   description: J band selected "default" magnitude
#   meta: !!omap
#   - width: 6
#   - precision: '3'
# - name: h_m
#   unit: mag
#   datatype: float64
#   format: '{:6.3f}'
#   description: H band selected "default" magnitude
#   meta: !!omap
#   - width: 6
#   - precision: '3'
# - name: k_m
#   unit: mag
#   datatype: float64
#   format: '{:6.3f}'
#   description: K band selected "default" magnitude
#   meta: !!omap
#   - width: 6
#   - precision: '3'
# - name: j_cmsig
#   unit: mag
#   datatype: float64
#   format: '{:5.3f}'
#   description: corrected J band photometric uncertainty
#   meta: !!omap
#   - width: 5
#   - precision: '3'
# - name: h_cmsig
#   unit: mag
#   datatype: float64
#   format: '{:5.3f}'
#   description: corrected H band photometric uncertainty
#   meta: !!omap
#   - width: 5
#   - precision: '3'
# - name: k_cmsig
#   unit: mag
#   datatype: float64
#   format: '{:5.3f}'
#   description: corrected K band photometric uncertainty
#   meta: !!omap
#   - width: 5
#   - precision: '3'
# - name: k_snr
#   datatype: float64
#   format: '{:10.1f}'
#   description: K band "scan" signal-to-noise ratio
#   meta: !!omap
#   - width: 10
#   - precision: '1'
# schema: astropy-2.0
designation ra dec err_maj err_min j_m h_m k_m j_cmsig h_cmsig k_cmsig k_snr
20050623+3628432 301.275984 36.478691 0.06 0.06 14.416 14.041 13.884 0.029 0.038 0.052 22.0
20050708+3628541 301.279521 36.481712 0.16 0.16 16.024 15.581 15.264 0.110 0.142 "" ""
20050679+3628499 301.278305 36.480530 0.08 0.08 14.221 13.807 13.581 0.037 0.038 "" ""
20050642+3628594 301.276791 36.483177 0.20 0.17 16.460 15.536 15.219 0.137 "" "" ""
20050824+3628295 301.284373 36.474880 0.06 0.06 12.973 12.190 11.895 0.034 0.038 0.030 137.5
20050729+3628389 301.280386 36.477493 0.07 0.07 15.982 14.838 14.485 0.096 0.087 0.080 12.7
20050772+3628519 301.282177 36.481087 0.06 0.06 14.031 13.750 13.613 0.027 0.035 0.040 28.3
20050286+3628496 301.261944 36.480461 0.16 0.14 16.167 15.447 15.478 0.113 0.124 "" ""
20050465+3628535 301.269409 36.481548 0.09 0.09 13.869 14.944 14.679 "" 0.089 0.111 10.6
20050426+3628542 301.267754 36.481724 0.08 0.08 12.423 11.700 11.479 "" 0.031 0.024 201.8
20050376+3628347 301.265698 36.476318 0.06 0.06 14.687 14.245 14.157 0.038 0.053 0.070 17.1
20050536+3628212 301.272363 36.472557 0.23 0.19 16.145 15.781 15.489 0.114 0.164 "" ""
20050968+3629020 301.290368 36.483902 0.17 0.16 16.433 15.762 15.592 0.145 "" "" ""
20051017+3628580 301.292410 36.482784 0.12 0.11 15.857 15.508 15.096 0.096 0.148 0.149 7.2
20050829+3628242 301.284574 36.473400 0.08 0.08 14.224 13.155 13.552 0.040 "" 0.053 29.9
20051035+3629183 301.293155 36.488430 0.07 0.07 15.315 14.868 14.495 0.066 0.088 0.089 12.5
20050698+3629283 301.279119 36.491211 0.06 0.06 14.424 14.009 13.794 0.037 0.054 0.047 23.9
20050603+3629135 301.275127 36.487110 0.11 0.11 14.339 13.622 13.837 "" "" 0.056 23.0
20050585+3629108 301.274381 36.486336 0.11 0.11 13.840 13.162 13.242 "" "" 0.054 39.8
20050725+3629149 301.280230 36.487488 0.19 0.18 16.362 15.579 15.855 0.134 0.150 "" ""
20050356+3629444 301.264871 36.495689 0.06 0.06 13.350 12.149 11.758 0.021 0.027 0.019 156.0
20050438+3629551 301.268266 36.498665 0.06 0.06 14.863 14.404 14.170 0.045 0.055 0.065 16.9
20050581+3630030 301.274247 36.500843 0.06 0.06 15.033 13.837 13.427 0.043 0.043 0.044 33.5
20050548+3629498 301.272870 36.497177 0.08 0.08 15.275 14.631 14.015 0.071 0.084 "" ""
20050279+3629345 301.261628 36.492935 0.06 0.06 14.905 13.761 13.444 0.050 0.044 0.042 33.0
20050279+3629217 301.261637 36.489388 0.14 0.14 15.989 15.228 15.381 0.101 0.124 0.180 5.5
20050274+3629285 301.261457 36.491268 0.09 0.08 15.750 15.153 14.909 0.102 0.118 0.138 8.6
20050334+3629108 301.263958 36.486359 0.27 0.24 16.193 16.621 15.477 0.106 "" 0.190 5.1
20050262+3629020 301.260943 36.483898 0.06 0.06 14.759 14.201 14.049 0.037 0.052 0.067 18.9
20050541+3629145 301.272574 36.487377 0.17 0.16 16.023 14.514 14.309 0.126 "" "" ""
20050586+3629475 301.274435 36.496529 0.18 0.17 16.252 15.600 14.900 0.122 0.140 "" ""
20050589+3629268 301.274552 36.490799 0.16 0.16 16.204 15.433 14.961 0.118 0.135 "" ""
20050516+3629389 301.271510 36.494156 0.08 0.08 16.281 14.860 14.394 0.121 0.083 0.069 13.8
